Politician,Ticker,Annualized Percentage Profit,Purchase Transaction IDs,Sell Transaction IDs,Total Purchase Amount,Total Sell Amount
Daniel S. Goldman,AMZN,0.0,[20003763195],"[20003762048, 20003759149]",32500.0,150000.0
Daniel S. Goldman,ATLKY,0.0,[20003762059],[20003761223],8000.0,8000.0
Daniel S. Goldman,ATUS,0.0,[20003763193],[20003762047],8000.0,8000.0
Daniel S. Goldman,BILL,0.0,[20003763210],[20003762065],32500.0,32500.0
Daniel S. Goldman,BMY,0.0,[20003763211],"[20003762074, 20003762075]",75000.0,183000.0
Daniel S. Goldman,BTI,0.0,[20003761226],[20003759161],32500.0,75000.0
Daniel S. Goldman,CB,0.0,[20003763221],[20003762087],32500.0,75000.0
Daniel S. Goldman,CCI,0.0,[20003763233],[20003762100],75000.0,75000.0
Daniel S. Goldman,CEG,0.0,[20003762097],[20003759173],8000.0,8000.0
Daniel S. Goldman,CJPRY,0.0,"[20003763217, 20003762083]",[20003761227],40500.0,32500.0
Daniel S. Goldman,CNC,0.0,[20003763216],[20003762081],32500.0,8000.0
Daniel S. Goldman,CNP,0.0,[20003762082],[20003759166],32500.0,32500.0
Daniel S. Goldman,CSGP,0.0,[20003763232],[20003762098],32500.0,32500.0
Daniel S. Goldman,CTAS,0.0,[20003762089],[20003759169],32500.0,32500.0
Daniel S. Goldman,DEO,0.0,[20003762111],[20003761240],8000.0,75000.0
Daniel S. Goldman,DG,0.0,[20003763240],[20003762114],75000.0,32500.0
Daniel S. Goldman,DLTR,0.0,[20003763241],[20003762115],32500.0,32500.0
Daniel S. Goldman,ENPH,0.0,[20003762123],"[20003761242, 20003759187]",8000.0,40500.0
Daniel S. Goldman,FIS,0.0,[20003763252],[20003762131],32500.0,32500.0
Daniel S. Goldman,GVDNY,0.0,[20003761249],[20003759195],8000.0,8000.0
Daniel S. Goldman,IFF,0.0,[20003763272],[20003762155],32500.0,32500.0
Daniel S. Goldman,JAZZ,0.0,[20003762161],[20003759206],32500.0,8000.0
Daniel S. Goldman,JNJ,0.0,"[20003762163, 20003761260]",[20003759207],83000.0,175000.0
Daniel S. Goldman,KHC,0.0,[20003763356],"[20003762273, 20003762274]",8000.0,40500.0
Daniel S. Goldman,KO,0.0,"[20003763225, 20003762091, 20003762092]","[20003761231, 20003759171]",48500.0,83000.0
Daniel S. Goldman,KR,0.0,"[20003763281, 20003762169]",[20003759211],16000.0,8000.0
Daniel S. Goldman,LLY,0.0,[20003762122],[20003761241],8000.0,8000.0
Daniel S. Goldman,LUMN,0.0,[20003763287],"[20003762174, 20003762175]",8000.0,16000.0
Daniel S. Goldman,MDLZ,0.0,[20003763304],[20003762196],75000.0,175000.0
Daniel S. Goldman,MHGVY,0.0,[20003762199],[20003761273],32500.0,32500.0
Daniel S. Goldman,MPW,0.0,[20003763294],"[20003762182, 20003762183]",8000.0,16000.0
Daniel S. Goldman,MRK,0.0,[20003763295],[20003762186],8000.0,32500.0
Daniel S. Goldman,MRNA,0.0,[20003763301],[20003762194],75000.0,75000.0
Daniel S. Goldman,MSFT,0.0,"[20003763298, 20003762187]",[20003759221],107500.0,75000.0
Daniel S. Goldman,MTHRY,0.0,[20003762177],[20003761267],8000.0,8000.0
Daniel S. Goldman,NFG,0.0,[20003763314],[20003762203],8000.0,32500.0
Daniel S. Goldman,NOC,0.0,[20003762215],[20003759230],32500.0,32500.0
Daniel S. Goldman,NRILY,0.0,[20003762214],[20003761288],8000.0,32500.0
Daniel S. Goldman,NTDOY,0.0,[20003763318],[20003761284],32500.0,32500.0
Daniel S. Goldman,NVS,0.0,[20003762217],[20003761290],75000.0,32500.0
Daniel S. Goldman,OCDDY,0.0,[20003762220],[20003761292],8000.0,8000.0
Daniel S. Goldman,PEP,0.0,[20003762227],[20003759233],75000.0,32500.0
Daniel S. Goldman,PFE,-683.6540085406162,[20003762228],[20003762229],32500.0,8000.0
Daniel S. Goldman,PLUG,0.0,[20003763329],[20003762232],32500.0,32500.0
Daniel S. Goldman,RHHBY,0.0,[20003762241],[20003761303],8000.0,32500.0
Daniel S. Goldman,RTO,0.0,[20003762237],[20003761301],8000.0,32500.0
Daniel S. Goldman,RTX,0.0,[20003762235],[20003759238],8000.0,32500.0
Daniel S. Goldman,SBAC,0.0,[20003763340],[20003762246],32500.0,32500.0
Daniel S. Goldman,SCHW,0.0,[20003762086],[20003759167],32500.0,32500.0
Daniel S. Goldman,SFTBY,0.0,[20003762260],[20003761312],32500.0,32500.0
Daniel S. Goldman,SGIOY,0.0,[20003762252],[20003761308],8000.0,8000.0
Daniel S. Goldman,SMPNY,0.0,[20003761313],[20003759252],8000.0,32500.0
Daniel S. Goldman,SR,-174.08094760874513,[20003762263],[20003762264],8000.0,8000.0
Daniel S. Goldman,SRPT,0.0,[20003762245],[20003759244],32500.0,8000.0
Daniel S. Goldman,TOTDY,0.0,[20003762276],[20003761327],8000.0,32500.0
Daniel S. Goldman,TRUMY,0.0,[20003762270],[20003761321],8000.0,32500.0
Daniel S. Goldman,TSLA,0.0,"[20003763354, 20003763355, 20003762271, 20003762272, 20003761322]",[20003759260],280500.0,175000.0
Daniel S. Goldman,UAL,0.0,[20003763362],[20003763363],8000.0,8000.0
Daniel S. Goldman,USB,0.0,[20003763359],[20003762279],32500.0,8000.0
Daniel S. Goldman,VNO,0.0,[20003763371],"[20003762292, 20003762293]",8000.0,16000.0
Daniel S. Goldman,WJRYY,0.0,[20003763376],[20003761336],8000.0,8000.0
Debbie Dingell,BX,0.0,[20003762311],[20001640158],32500.0,32500.0
Debbie Wasserman Schultz,MAG,0.0,[20003770429],[20003770430],8000.0,8000.0
Diana Harshbarger,ACM,0.0,"[20003720972, 20003720973, 20003720974, 20003718582, 20003718604, 20003718605, 20003718606, 20003718607]",[20003689385],64000.0,8000.0
Diana Harshbarger,ADBE,80.21715931556015,"[20003759404, 20003759405, 20003759458, 20003759459]",[20003759469],32000.0,8000.0
Diana Harshbarger,ADBE,0.0,"[20003759800, 20003759801, 20003759802, 20003759803, 20003756562, 20003756563, 20003756564, 20003756565, 20003756587, 20003756588]","[20003755609, 20003755610, 20003755611, 20003755621, 20003755622, 20003755623, 20003755624]",80000.0,56000.0
Diana Harshbarger,ADBE,0.0,"[20003753865, 20003752293, 20003752294, 20003752295, 20003752296, 20003752297, 20003752298, 20003752299, 20003752307]","[20003751081, 20003751082, 20003751083, 20003751084, 20003751085, 20003751086, 20003751087, 20003751088, 20003751089, 20003751090]",72000.0,80000.0
Diana Harshbarger,ADP,0.0,"[20003751012, 20003751013, 20003751014, 20003751015]","[20003704034, 20003704087, 20003673728, 20003673730, 20003673733, 20003673735, 20003673737, 20003673739, 20003673741, 20003673746, 20003673747, 20003673749, 20003673751, 20003673897, 20003672081, 20003672082, 20003672083, 20003672084, 20003672086, 20003672088, 20003672091, 20003672098, 20003672099, 20003672100, 20003672104, 20003672240]",32000.0,208000.0
Diana Harshbarger,ADSK,0.0,"[20003755614, 20003755615, 20003755616, 20003755617]","[20003753874, 20003752302, 20003752311, 20003752312]",32000.0,32000.0
Diana Harshbarger,AEE,0.0,"[20003728395, 20003728396, 20003728397, 20003728398]","[20003673676, 20003673677, 20003673678, 20003672028, 20003672029, 20003672030]",32000.0,48000.0
Diana Harshbarger,ALGN,0.0,"[20003755554, 20003755555]","[20003753872, 20003753873]",16000.0,16000.0
Diana Harshbarger,AMT,0.0,[20003759930],[20003749113],8000.0,8000.0
Diana Harshbarger,AMZN,0.0,"[20003720975, 20003718517, 20003718546, 20003718547, 20003718573, 20003718574, 20003718575]","[20003708826, 20003708830, 20003708833, 20003708837, 20003707922, 20003707925, 20003707927, 20003707931]",56000.0,64000.0
Diana Harshbarger,AMZN,1925.7419611981752,"[20003704019, 20003689280, 20003689283]","[20003689392, 20003689393]",24000.0,16000.0
Diana Harshbarger,BAH,0.0,"[20003751020, 20003751021, 20003751022, 20003751023]","[20003724281, 20003724282]",32000.0,16000.0
Diana Harshbarger,BKR,0.0,"[20003759460, 20003759461, 20003759462, 20003755545, 20003755546, 20003755547, 20003755548, 20003755549, 20003755550, 20003755551, 20003755552]","[20003752381, 20003752382, 20003752383, 20003752384, 20003752385]",88000.0,40000.0
Diana Harshbarger,BMY,0.0,"[20003759410, 20003759411, 20003759412, 20003759413]","[20003689289, 20003689296, 20003689459, 20003673768, 20003673784, 20003673794, 20003673805, 20003672105, 20003672106, 20003672107, 20003672108]",32000.0,88000.0
Diana Harshbarger,CMCSA,0.0,"[20003756566, 20003756567, 20003756568, 20003756569]","[20003755602, 20003755625, 20003755626, 20003755627, 20003755628, 20003755629]",32000.0,48000.0
Diana Harshbarger,CMCSA,0.0,"[20003752264, 20003752265, 20003752266, 20003752267, 20003724358, 20003724359, 20003724360, 20003724361, 20003720979]",[20003689390],72000.0,8000.0
Diana Harshbarger,EA,0.0,"[20003724346, 20003724347, 20003724348, 20003724349, 20003721081, 20003721082, 20003718562, 20003718563]","[20003728460, 20003728461, 20003728462, 20003728463, 20003728501, 20003728502, 20003728503, 20003728504, 20003710304, 20003710305, 20003710306]",64000.0,88000.0
Diana Harshbarger,EA,10.464161120917355,[20003708829],"[20003708838, 20003708841, 20003708843, 20003708844, 20003708845, 20003708848, 20003708850, 20003708859]",8000.0,64000.0
Diana Harshbarger,EA,10.464161120917355,[20003707921],"[20003707932, 20003707933, 20003707934, 20003707935, 20003707939, 20003707942, 20003707944, 20003707953]",8000.0,64000.0
Diana Harshbarger,EA,-64.84739124098797,"[20003704028, 20003704048, 20003704066, 20003704082]",[20003704137],32000.0,8000.0
Diana Harshbarger,EA,0.0,"[20003689307, 20003689317, 20003689323, 20003689332]","[20003689355, 20003673695, 20003673699, 20003673701]",32000.0,32000.0
Diana Harshbarger,EA,0.0,"[20003673996, 20003674006, 20003674017]","[20003672047, 20003672048, 20003672049]",24000.0,24000.0
Diana Harshbarger,EOG,0.0,"[20003710289, 20003704140]",[20003689359],16000.0,8000.0
Diana Harshbarger,EW,0.0,"[20003759414, 20003759415, 20003756517, 20003756518, 20003756519, 20003756520]","[20003708804, 20003707899, 20003689362]",48000.0,24000.0
Diana Harshbarger,FIS,0.0,"[20003756570, 20003756571, 20003756572, 20003756573]","[20003755604, 20003755605, 20003755606]",32000.0,24000.0
Diana Harshbarger,FIS,0.0,"[20003721039, 20003721040, 20003721041, 20003721042, 20003718583, 20003718584, 20003718585, 20003718586, 20003728402, 20003728403, 20003728404, 20003728405, 20003704049, 20003704106]","[20003673774, 20003674052, 20003674053, 20003672146]",112000.0,32000.0
Diana Harshbarger,G,0.0,"[20003724259, 20003724260, 20003724261, 20003724315]","[20003721003, 20003721004, 20003721005, 20003721006]",32000.0,32000.0
Diana Harshbarger,G,0.0,"[20003721043, 20003721044]","[20003689356, 20003673654, 20003672018]",16000.0,24000.0
Diana Harshbarger,GEN,0.0,"[20003759794, 20003759795, 20003759819, 20003759820, 20003756574]",[20003755631],40000.0,8000.0
Diana Harshbarger,GEN,0.0,"[20003752272, 20003752273, 20003752274, 20003752275, 20003720976, 20003720977, 20003720978, 20003718587, 20003689308, 20003689316, 20003689324, 20003689333]","[20003673623, 20003673631, 20003673634, 20003673637]",96000.0,32000.0
Diana Harshbarger,GEN,0.0,"[20003673727, 20003673729, 20003673732, 20003673734, 20003673736, 20003673738, 20003673740, 20003673742, 20003673748, 20003673750, 20003673752, 20003673779, 20003673802, 20003673854, 20003673859, 20003673860, 20003673874, 20003673877, 20003673880, 20003673989, 20003673990, 20003673991]","[20003671980, 20003671984, 20003671986, 20003671992]",176000.0,32000.0
Diana Harshbarger,GOOGL,0.0,"[20003759813, 20003759814, 20003759831, 20003756523, 20003756527, 20003756528]","[20003756580, 20003755578, 20003755579, 20003752284, 20003752319, 20003752333, 20003752334]",48000.0,56000.0
Diana Harshbarger,GOOGL,0.0,"[20003751112, 20003728336, 20003728349]","[20003708807, 20003708808, 20003707898, 20003707902, 20003689285, 20003689399]",24000.0,48000.0
Diana Harshbarger,GOOGL,0.0,[20003673608],[20003673610],8000.0,8000.0
Diana Harshbarger,GOOGL,97.10849504856073,[20003673643],"[20003673645, 20003673646, 20003673647]",8000.0,24000.0
Diana Harshbarger,GOOGL,53.50172412238481,"[20003673665, 20003673825]",[20003674072],16000.0,8000.0
Diana Harshbarger,GOOGL,-159.55693288267176,[20003671961],[20003671963],8000.0,8000.0
Diana Harshbarger,GOOGL,97.10849504856073,[20003671995],"[20003671997, 20003671998, 20003671999]",8000.0,24000.0
Diana Harshbarger,GS,0.0,"[20003728337, 20003728338, 20003728339, 20003728340]",[20003689388],32000.0,8000.0
Diana Harshbarger,JNJ,0.0,"[20003749116, 20003724262, 20003724263, 20003724264, 20003724304]","[20003704037, 20003704056, 20003689383]",40000.0,24000.0
Diana Harshbarger,JPM,0.0,"[20003756534, 20003756535, 20003756536, 20003756537, 20003721045, 20003721046, 20003721047, 20003718564]",[20003704099],64000.0,8000.0
Diana Harshbarger,KNX,0.0,"[20003756467, 20003756468, 20003756469, 20003756470]",[20003752258],32000.0,8000.0
Diana Harshbarger,LMT,0.0,"[20003756471, 20003756472, 20003756473, 20003756474, 20003753889, 20003753890, 20003753891, 20003753892, 20003751036, 20003749109, 20003724362, 20003724363, 20003724364]","[20003689291, 20003689295, 20003689299, 20003689302]",104000.0,32000.0
Diana Harshbarger,LPLA,0.0,"[20003728350, 20003728351, 20003728352]","[20003673718, 20003673720, 20003673722, 20003673723, 20003672068, 20003672069, 20003672070, 20003672073]",24000.0,64000.0
Diana Harshbarger,LYB,0.0,"[20003759833, 20003759847, 20003759848, 20003759849, 20003759850, 20003756543, 20003756544, 20003756545, 20003756546, 20003755574, 20003755575, 20003755576, 20003755577]","[20003704128, 20003704129, 20003704130, 20003704131, 20003704132, 20003704133, 20003704135, 20003704138, 20003704143]",104000.0,72000.0
Diana Harshbarger,MDT,0.0,"[20003751101, 20003751102, 20003751103, 20003751104]","[20003728430, 20003728431, 20003728432, 20003728433, 20003689379]",32000.0,40000.0
Diana Harshbarger,META,0.0,"[20003759416, 20003759417, 20003759418, 20003759419]","[20003759485, 20003756521, 20003756522, 20003756583, 20003756584, 20003749123, 20003749124, 20003724325, 20003718513, 20003718514, 20003718515, 20003718516, 20003728468, 20003708835, 20003707929, 20003689380, 20003689381]",32000.0,136000.0
Diana Harshbarger,MISHX,0.0,"[20003751111, 20003724354]","[20003673693, 20003673703, 20003672045, 20003672053]",16000.0,81000.0
Diana Harshbarger,MRK,0.0,"[20003751041, 20003751042, 20003704030, 20003704051, 20003704068, 20003704084, 20003689306, 20003689325, 20003689334]","[20003689349, 20003673775, 20003673790, 20003673797, 20003673812, 20003672133, 20003672151, 20003672158, 20003672159]",72000.0,72000.0
Diana Harshbarger,MSFT,0.0,"[20003756511, 20003755632]",[20003689398],16000.0,8000.0
Diana Harshbarger,MU,0.0,"[20003752390, 20003752391, 20003752392, 20003752393]","[20003724236, 20003724237, 20003724238, 20003724239]",32000.0,32000.0
Diana Harshbarger,NEE,0.0,"[20003752350, 20003752351, 20003749140]","[20003724326, 20003724327, 20003724328, 20003724329, 20003718486, 20003728358, 20003728434, 20003728435, 20003728436, 20003728437, 20003710262, 20003710263, 20003710264, 20003710265, 20003710266, 20003710267, 20003710268, 20003710269]",24000.0,144000.0
Diana Harshbarger,NOW,0.0,"[20003759466, 20003759467, 20003759468, 20003759854, 20003756547, 20003756548, 20003755633, 20003755634, 20003753893, 20003753894, 20003753906, 20003753907, 20003753908, 20003753909, 20003751100, 20003724316, 20003724317]","[20003721079, 20003721080]",136000.0,16000.0
Diana Harshbarger,ORCL,0.0,"[20003751072, 20003751073, 20003749115, 20003749117, 20003749118, 20003718548, 20003718549, 20003718550, 20003718551]",[20003728438],72000.0,8000.0
Diana Harshbarger,ORCL,0.0,[20003728493],"[20003689391, 20003673771, 20003673788, 20003673795, 20003673807, 20003672118, 20003672122, 20003672123, 20003672129]",8000.0,72000.0
Diana Harshbarger,PG,0.0,"[20003724219, 20003724220, 20003724265]","[20003724297, 20003724350, 20003724351, 20003689344, 20003673655, 20003673943, 20003673945, 20003673946, 20003673948, 20003673969, 20003673976, 20003673980, 20003672020, 20003672291, 20003672293, 20003672294, 20003672295, 20003672314, 20003672323, 20003672326]",24000.0,160000.0
Diana Harshbarger,PNC,0.0,"[20003753866, 20003752356, 20003752357, 20003728353]","[20003689292, 20003673615, 20003671967]",32000.0,24000.0
Diana Harshbarger,RHHBY,0.0,"[20003718552, 20003728414, 20003728481]",[20003689357],24000.0,8000.0
Diana Harshbarger,RRX,0.0,"[20003728341, 20003710290, 20003710291, 20003710292]","[20003689343, 20003689400]",32000.0,16000.0
Diana Harshbarger,RRX,-43.44514932392924,"[20003673688, 20003673690, 20003673694]","[20003673818, 20003673845]",24000.0,16000.0
Diana Harshbarger,RRX,-43.44514932392924,"[20003672041, 20003672044, 20003672046]","[20003672176, 20003672184]",24000.0,16000.0
Diana Harshbarger,SHW,-14.095959166445128,"[20003673659, 20003673662, 20003673668, 20003673673]","[20003673898, 20003673912, 20003673921, 20003673929]",32000.0,32000.0
Diana Harshbarger,SHW,-14.095959166445128,"[20003672008, 20003672024, 20003672025, 20003672026]","[20003672242, 20003672278, 20003672279, 20003672280]",32000.0,32000.0
Diana Harshbarger,TTWO,0.0,"[20003704102, 20003689428, 20003689433, 20003689438, 20003689444, 20003689446, 20003689448, 20003689450, 20003689452, 20003689455, 20003689457]","[20003673862, 20003673863, 20003673864, 20003673865, 20003673866, 20003673867, 20003673868, 20003673869, 20003672198, 20003672199, 20003672200, 20003672201, 20003672202, 20003672203, 20003672204, 20003672206]",88000.0,128000.0
Diana Harshbarger,V,0.0,"[20003759446, 20003759447]",[20003759817],16000.0,8000.0
Diana Harshbarger,V,0.0,"[20003755635, 20003752317, 20003749126, 20003749127, 20003749128, 20003749129, 20003724221, 20003724222, 20003724223, 20003724299, 20003718521, 20003718522, 20003718523, 20003728482, 20003708877, 20003708878]",[20003689420],128000.0,8000.0
Diana Harshbarger,WDC,0.0,"[20003755556, 20003755557, 20003755558, 20003755559]","[20003752386, 20003752387, 20003752388, 20003752389]",32000.0,32000.0
Diana Harshbarger,WDC,0.0,"[20003724229, 20003724230, 20003724231, 20003724232, 20003724345]",[20003689347],40000.0,8000.0
Diana Harshbarger,WFC,0.0,"[20003724249, 20003721026, 20003718483, 20003718484, 20003728357, 20003728366, 20003728406]",[20003708884],56000.0,8000.0
Diana Harshbarger,WFC,0.0,[20003704142],[20003689387],8000.0,8000.0
Diana Harshbarger,WMT,0.0,"[20003708840, 20003708887, 20003708888, 20003708889, 20003708890, 20003707938, 20003689303]",[20003689351],56000.0,8000.0
Diana Harshbarger,WMT,0.0,[20003689422],"[20003673683, 20003672038]",8000.0,16000.0
Don Beyer,ACN,-169.6862945844512,[20003714898],[20003714899],8000.0,32500.0
Don Beyer,COST,0.0,"[20003710787, 20003691904]",[20001625667],16000.0,8000.0
Don Beyer,NEE,137.17168755942873,[20001955563],[20001955564],8000.0,8000.0
Don Beyer,NVS,0.0,[20003710795],"[20003708903, 20003691910]",8000.0,16000.0
Don Beyer,TJX,0.0,"[20003710801, 20003707875]",[20003673837],16000.0,8000.0
Don Beyer,VZ,0.0,[20003710803],[20003708906],8000.0,8000.0
Doug Lamborn,NTAP,0.0,[20003772298],[20003772299],32500.0,32500.0
Doug Lamborn,NTAP,0.0,[20003772300],[20003772301],32500.0,32500.0
Doug Lamborn,NTAP,0.0,[20003772302],"[20003771587, 20003771588, 20003771589, 20003769575]",32500.0,130000.0
Doug Lamborn,NTAP,0.0,[20003769576],[20003769577],32500.0,32500.0
Doug Lamborn,NTAP,0.0,[20003769578],[20003769579],32500.0,32500.0
Doug Lamborn,NTAP,0.0,[20003769580],[20003766876],32500.0,32500.0
Doug Lamborn,NTAP,0.0,[20003766877],[20003766878],32500.0,32500.0
Doug Lamborn,NTAP,0.0,[20003766879],[20003766880],32500.0,32500.0
Doug Lamborn,NTAP,0.0,"[20003766881, 20003765442, 20003765443, 20003765444]","[20003764823, 20003764824, 20003764825]",130000.0,97500.0
Doug Lamborn,NTAP,0.0,"[20003762516, 20003762517, 20003756651]",[20003756652],48500.0,32500.0
Doug Lamborn,NTAP,828.9078296001314,"[20003756653, 20003756654]",[20003756655],40500.0,8000.0
Doug Lamborn,NTAP,828.9078296001314,"[20003756656, 20003756657]",[20003756658],16000.0,8000.0
Doug Lamborn,NTAP,0.0,"[20003756659, 20003756637]",[20003756638],40500.0,32500.0
Doug Lamborn,NTAP,3.316283053126143,[20003756639],[20003756640],32500.0,32500.0
Doug Lamborn,NTAP,115.95904828909137,[20003756641],[20003756642],8000.0,8000.0
Doug Lamborn,NTAP,3.316283053126143,[20003756643],[20003756644],8000.0,8000.0
Doug Lamborn,NTAP,115.95904828909137,[20003756645],[20003756646],8000.0,8000.0
Doug Lamborn,NTAP,0.0,[20003756647],"[20003756648, 20003750822]",8000.0,40500.0
Doug Lamborn,NTAP,-251.13417582432308,[20003750823],"[20003750824, 20003750825]",32500.0,40500.0
Doug Lamborn,NTAP,-251.13417582432308,[20003750826],"[20003750827, 20003750828]",8000.0,16000.0
Doug Lamborn,NTAP,0.0,"[20003750829, 20003750830]","[20003750831, 20003748995]",16000.0,40500.0
Doug Lamborn,NTAP,0.0,[20003748996],[20003748997],32500.0,8000.0
